frquency,impedance,wine_id,wine_name,Unnamed: 10,类别,类别编码
70,1989,1,江小白果立方,,白酒,2
71,1986,1,江小白果立方,,白酒,2
72,1988,1,江小白果立方,,白酒,2
73,1994,1,江小白果立方,,白酒,2
74,2003,1,江小白果立方,,白酒,2
75,2008,1,江小白果立方,,白酒,2
76,2012,1,江小白果立方,,白酒,2
77,2011,1,江小白果立方,,白酒,2
78,2006,1,江小白果立方,,白酒,2
79,1998,1,江小白果立方,,白酒,2
80,1992,1,江小白果立方,,白酒,2
81,1990,1,江小白果立方,,白酒,2
82,1991,1,江小白果立方,,白酒,2
83,1997,1,江小白果立方,,白酒,2
84,2002,1,江小白果立方,,白酒,2
87,2000,1,江小白果立方,,白酒,2
91,1999,1,江小白果立方,,白酒,2
92,2000,1,江小白果立方,,白酒,2
93,2001,1,江小白果立方,,白酒,2
94,2001,1,江小白果立方,,白酒,2
98,2000,1,江小白果立方,,白酒,2
99,2003,1,江小白果立方,,白酒,2
100,2002,1,江小白果立方,,白酒,2
101,2001,1,江小白果立方,,白酒,2
102,1998,1,江小白果立方,,白酒,2
103,1994,1,江小白果立方,,白酒,2
104,1993,1,江小白果立方,,白酒,2
105,1994,1,江小白果立方,,白酒,2
106,1996,1,江小白果立方,,白酒,2
107,1998,1,江小白果立方,,白酒,2
108,2001,1,江小白果立方,,白酒,2
109,2002,1,江小白果立方,,白酒,2
110,2004,1,江小白果立方,,白酒,2
111,2003,1,江小白果立方,,白酒,2
112,2003,1,江小白果立方,,白酒,2
113,2004,1,江小白果立方,,白酒,2
114,2002,1,江小白果立方,,白酒,2
115,2001,1,江小白果立方,,白酒,2
116,2000,1,江小白果立方,,白酒,2
117,1998,1,江小白果立方,,白酒,2
118,1996,1,江小白果立方,,白酒,2
119,1995,1,江小白果立方,,白酒,2
120,1994,1,江小白果立方,,白酒,2
20,1994,1,江小白果立方,,白酒,2
23,1990,1,江小白果立方,,白酒,2
24,1989,1,江小白果立方,,白酒,2
25,1999,1,江小白果立方,,白酒,2
26,2006,1,江小白果立方,,白酒,2
27,1997,1,江小白果立方,,白酒,2
28,1991,1,江小白果立方,,白酒,2
29,1992,1,江小白果立方,,白酒,2
30,1993,1,江小白果立方,,白酒,2
31,1997,1,江小白果立方,,白酒,2
32,2002,1,江小白果立方,,白酒,2
33,2001,1,江小白果立方,,白酒,2
34,1994,1,江小白果立方,,白酒,2
35,1989,1,江小白果立方,,白酒,2
36,1992,1,江小白果立方,,白酒,2
37,1998,1,江小白果立方,,白酒,2
38,2001,1,江小白果立方,,白酒,2
39,1998,1,江小白果立方,,白酒,2
40,1997,1,江小白果立方,,白酒,2
41,1992,1,江小白果立方,,白酒,2
42,1991,1,江小白果立方,,白酒,2
43,1994,1,江小白果立方,,白酒,2
44,1999,1,江小白果立方,,白酒,2
45,2000,1,江小白果立方,,白酒,2
46,1998,1,江小白果立方,,白酒,2
47,1997,1,江小白果立方,,白酒,2
48,1997,1,江小白果立方,,白酒,2
49,1996,1,江小白果立方,,白酒,2
53,1996,1,江小白果立方,,白酒,2
54,2004,1,江小白果立方,,白酒,2
55,2007,1,江小白果立方,,白酒,2
56,2005,1,江小白果立方,,白酒,2
61,1990,1,江小白果立方,,白酒,2
62,1991,1,江小白果立方,,白酒,2
64,1995,1,江小白果立方,,白酒,2
65,2000,1,江小白果立方,,白酒,2
66,2005,1,江小白果立方,,白酒,2
67,2007,1,江小白果立方,,白酒,2
68,2006,1,江小白果立方,,白酒,2
69,1999,1,江小白果立方,,白酒,2
70,1990,1,江小白果立方,,白酒,2
71,1984,1,江小白果立方,,白酒,2
72,1983,1,江小白果立方,,白酒,2
